IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending
235138081,1-Jan-09,2009,0:00:37,0,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,SW11 4LB,SW11,E09000032,WANDSWORTH,Wandsworth,E05000620,Queenstown,Queenstown,528652.0,176830.0,528650,176850,London,Battersea,,,,,2.0,2.0
1091,1-Jan-09,2009,0:00:46,0,Special Service,Special Service,Assist other agencies,Outdoor,Lake/pond/reservoir ,Open land/water - nearest gazetteer location,SE1 7SG,SE1,E09000022,LAMBETH,Lambeth,E05000416,Bishop's,Bishop's,530485.0,179007.0,530450,179050,London,Lambeth,,,,,,
2091,1-Jan-09,2009,0:03:00,0,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,N9 9EL,N9,E09000010,ENFIELD,Enfield,E05000201,Haselbury,Haselbury,533773.0,194492.0,533750,194450,London,Edmonton,,,,,1.0,1.0
3091,1-Jan-09,2009,0:04:27,0,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,UB10 0DG,UB10,E09000017,HILLINGDON,Hillingdon,E05000332,Hillingdon East,Hillingdon East,507738.0,182805.0,507750,182850,London,Hillingdon,,,,,1.0,1.0
5091,1-Jan-09,2009,0:05:39,0,Fire,Secondary Fire,,Outdoor,Cycle path/public footpath/bridleway ,In street outside gazetteer location,N7 8HG,N7,E09000019,ISLINGTON,Islington,E05000375,Holloway,Holloway,531058.0,185307.0,531050,185350,London,Holloway,,,,,1.0,2.0
6091,1-Jan-09,2009,0:06:03,0,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,NW5,E09000007,CAMDEN,Camden,E05000139,Kentish Town,Kentish Town,,,529450,185250,London,Kentish Town,,,,,1.0,2.0
8091,1-Jan-09,2009,0:12:31,0,Special Service,Special Service,RTC,Road Vehicle,Car ,On motorway / elevated road,SE3 9PP,SE3,E09000011,GREENWICH,Greenwich,E05000220,Eltham West,Eltham West,541086.0,175646.0,541050,175650,London,Lee Green,,,,,1.0,1.0
9091,1-Jan-09,2009,0:13:42,0,Fire,Secondary Fire,,Outdoor Structure,Refuse/rubbish tip ,On land associated with building,TW3 2RE,TW3,E09000018,HOUNSLOW,Hounslow,E05000360,Hounslow South,Hounslow South,514529.0,174907.0,514550,174950,London,Heston,,,,,1.0,2.0
10091,1-Jan-09,2009,0:14:51,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,EC1V 7PB,EC1V,E09000019,ISLINGTON,Islington,E05000367,Bunhill,Bunhill,531902.0,182654.0,531950,182650,London,Shoreditch,,,,,1.0,1.0
11091,1-Jan-09,2009,0:14:57,0,False Alarm,AFA,,Other Residential,Student Hall of Residence ,Correct incident location,WC1B 3RA,WC1B,E09000007,CAMDEN,Camden,E05000129,Bloomsbury,Bloomsbury,529914.0,181705.0,529950,181750,London,Soho,,,,,1.0,1.0
12091,1-Jan-09,2009,0:16:02,0,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,N21,E09000010,ENFIELD,Enfield,E05000200,Grange,Grange,,,531350,195850,London,Southgate,,,,,2.0,2.0
14091,1-Jan-09,2009,0:17:58,0,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SE5,E09000028,SOUTHWARK,Southwark,E05000534,Brunswick Park,Brunswick Park,,,532850,177050,London,Peckham,,,,,1.0,1.0
15091,1-Jan-09,2009,0:19:00,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,TW3 4DU,TW3,E09000018,HOUNSLOW,Hounslow,E05000358,Hounslow Central,Hounslow Central,513945.0,176409.0,513950,176450,London,Heston,,,,,1.0,1.0
21091,1-Jan-09,2009,0:20:43,0,Special Service,Special Service,Medical Incident,Outdoor,Road surface/pavement ,In street outside gazetteer location,E8 1HE,E8,E09000012,HACKNEY,Hackney,E05009376,Homerton,Homerton,534967.0,184753.0,534950,184750,London,Homerton,,,,,1.0,1.0
20091,1-Jan-09,2009,0:23:28,0,False Alarm,AFA,,Non Residential,Department Store ,Correct incident location,EN2 6LJ,EN2,E09000010,ENFIELD,Enfield,E05000200,Grange,Grange,532748.0,196549.0,532750,196550,London,Enfield,,,,,1.0,1.0
17091,1-Jan-09,2009,0:23:38,0,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,EC1A,E09000001,CITY OF LONDON,City Of london,E05009304,Farringdon Within,Farringdon Within,,,532150,181550,London,Dowgate,,,,,1.0,1.0
18091,1-Jan-09,2009,0:24:11,0,False Alarm,False alarm - Good intent,,Outdoor,Park ,In street remote from gazetteer location,SE26 5PE,SE26,E09000006,BROMLEY,Bromley,E05000123,Penge and Cator,Penge and Cator,535420.0,170720.0,535450,170750,London,Beckenham,,,,,1.0,1.0
22091,1-Jan-09,2009,0:25:18,0,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,CR4,E09000024,MERTON,Merton,E05000458,Cricket Green,Cricket Green,,,526550,168950,London,Mitcham,,,,,1.0,1.0
23091,1-Jan-09,2009,0:26:20,0,Fire,Primary Fire,,Non Residential,Laundrette ,Correct incident location,W10 5NE,W10,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009396,Golborne,Golborne,524281.0,181426.0,524250,181450,London,North Kensington,,,,,3.0,5.0
32091,1-Jan-09,2009,0:30:50,0,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,N11,E09000010,ENFIELD,Enfield,E05000209,Southgate Green,Southgate Green,,,528650,192350,London,Southgate,,,,,1.0,1.0
34091,1-Jan-09,2009,0:31:18,0,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,NW5,E09000007,CAMDEN,Camden,E05000139,Kentish Town,Kentish Town,,,528850,185850,London,Kentish Town,,,,,1.0,1.0
36091,1-Jan-09,2009,0:32:42,0,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,CR0 4UD,CR0,E09000029,SUTTON,Sutton,E05000555,Beddington North,Beddington North,530087.0,165485.0,530050,165450,London,Wallington,,,,,1.0,1.0
39091,1-Jan-09,2009,0:33:13,0,False Alarm,False alarm - Good intent,,Other Residential,Hotel/motel ,Within same building,WC2R 0EU,WC2R,E09000007,CAMDEN,Camden,E05000138,Holborn and Covent Garden,Holborn and Covent Garden,530282.0,181379.0,530250,181350,London,Soho,,,,,1.0,1.0
38091,1-Jan-09,2009,0:33:33,0,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE18,E09000011,GREENWICH,Greenwich,E05000229,Woolwich Common,Woolwich Common,,,543750,177750,London,Plumstead,,,,,2.0,3.0
33091,1-Jan-09,2009,0:35:07,0,False Alarm,AFA,,Other Residential,Hotel/motel ,Within same building,N1 9AA,N1,E09000019,ISLINGTON,Islington,E05000368,Caledonian,Caledonian,530340.0,183120.0,530350,183150,London,Euston,,,,,1.0,1.0
41091,1-Jan-09,2009,0:35:45,0,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,E6,E09000025,NEWHAM,Newham,E05000476,Boleyn,Boleyn,,,541650,183250,London,East Ham,,,,,2.0,2.0
43091,1-Jan-09,2009,0:38:55,0,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE17,E09000028,SOUTHWARK,Southwark,E05000540,East Walworth,East Walworth,,,533350,178250,London,Old Kent Road,,,,,1.0,1.0
46091,1-Jan-09,2009,0:39:53,0,False Alarm,AFA,,Non Residential,Restaurant/cafe,Within same building,EC4A 1DE,EC4A,E09000001,CITY OF LONDON,City Of london,E05009297,Castle Baynard,Castle Baynard,531312.0,181449.0,531350,181450,London,Dowgate,,,,,1.0,1.0
48091,1-Jan-09,2009,0:40:31,0,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE1,E09000028,SOUTHWARK,Southwark,E05000537,Chaucer,Chaucer,,,532850,179150,London,Old Kent Road,,,,,1.0,1.0
44091,1-Jan-09,2009,0:40:39,0,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SW8,E09000022,LAMBETH,Lambeth,E05000429,Stockwell,Stockwell,,,530350,176950,London,Brixton,,,,,2.0,3.0
49091,1-Jan-09,2009,0:43:26,0,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW16,E09000022,LAMBETH,Lambeth,E05000428,St. Leonard's,St. Leonard's,,,529850,172650,London,Tooting,,,,,1.0,1.0
53091,1-Jan-09,2009,0:45:25,0,Fire,Secondary Fire,,Outdoor,Other outdoor location ,In street close to gazetteer location,IG6 2JN,IG6,E09000026,REDBRIDGE,Redbridge,E05000504,Fullwell,Fullwell,544137.0,190509.0,544150,190550,London,Hainault,,,,,1.0,1.0
54091,1-Jan-09,2009,0:46:48,0,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street close to gazetteer location,E3 3PN,E3,E09000030,TOWER HAMLETS,Tower Hamlets,E05009322,Bromley South,Bromley South,537750.0,182250.0,537750,182250,London,Poplar,,,,,1.0,1.0
55091,1-Jan-09,2009,0:48:32,0,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,SW2,E09000022,LAMBETH,Lambeth,E05000435,Tulse Hill,Tulse Hill,,,531350,173950,London,West Norwood,,,,,1.0,2.0
58091,1-Jan-09,2009,0:52:12,0,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,E17,E09000031,WALTHAM FOREST,Waltham Forest,E05000599,High Street,High Street,,,537050,189150,London,Walthamstow,,,,,2.0,3.0
60091,1-Jan-09,2009,0:52:38,0,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SE8,E09000023,LEWISHAM,Lewisham,E05000439,Brockley,Brockley,,,537350,176450,London,Greenwich,,,,,2.0,3.0
61091,1-Jan-09,2009,0:54:32,0,False Alarm,AFA,,Non Residential,Museum ,Correct incident location,WC2N 5NF,WC2N,E09000033,WESTMINSTER,Westminster,E05000644,St. James's,St. James's,530227.0,180412.0,530250,180450,London,Soho,,,,,1.0,1.0
62091,1-Jan-09,2009,0:55:09,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street close to gazetteer location,SE18 6UD,SE18,E09000011,GREENWICH,Greenwich,E05000229,Woolwich Common,Woolwich Common,543579.0,178081.0,543550,178050,London,Plumstead,,,,,1.0,1.0
63091,1-Jan-09,2009,1:01:01,1,False Alarm,AFA,,Non Residential,Department Store ,Correct incident location,CR9 1SB,CR9,E09000008,CROYDON,Croydon,E05000153,Fairfield,Fairfield,532375.0,165627.0,532350,165650,London,Croydon,,,,,1.0,1.0
66091,1-Jan-09,2009,1:08:27,1,False Alarm,AFA,,Dwelling,House in Multiple Occupation - 3 or more storeys (not known if licensed),Correct incident location,,NW6,E09000007,CAMDEN,Camden,E05000140,Kilburn,Kilburn,,,525350,183950,London,West Hampstead,,,,,,
65091,1-Jan-09,2009,1:09:38,1,False Alarm,False alarm - Good intent,,Outdoor Structure,Post box ,Correct incident location,SW16 4RF,SW16,E09000008,CROYDON,Croydon,E05000158,Norbury,Norbury,531286.0,168796.0,531250,168750,London,Norbury,,,,,1.0,1.0
67091,1-Jan-09,2009,1:11:51,1,Special Service,Special Service,Medical Incident,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW11,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05000522,Hampton Wick,Hampton Wick,,,517550,170350,London,Twickenham,,,,,2.0,2.0
68091,1-Jan-09,2009,1:13:17,1,Special Service,Special Service,Assist other agencies,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,E9,E09000012,HACKNEY,Hackney,E05009379,King's Park,King's Park,,,535750,185350,London,Homerton,,,,,1.0,1.0
69091,1-Jan-09,2009,1:13:38,1,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,N12,E09000003,BARNET,Barnet,E05000059,Totteridge,Totteridge,,,525650,192850,London,Finchley,,,,,2.0,3.0
70091,1-Jan-09,2009,1:14:27,1,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W10,E09000005,BRENT,Brent,E05000098,Queens Park,Queens Park,,,523850,182750,London,North Kensington,,,,,2.0,2.0
88091,1-Jan-09,2009,1:20:44,1,False Alarm,False alarm - Malicious,,Non Residential,Casino ,Nearby address - street not listed in gazetteer,W2 2DZ,W2,E09000033,WESTMINSTER,Westminster,E05000632,Bryanston and Dorset Square,Bryanston and Dorset Square,527482.0,181288.0,527450,181250,London,Paddington,,,,,2.0,2.0
91091,1-Jan-09,2009,1:20:57,1,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,SE8,E09000023,LEWISHAM,Lewisham,E05000443,Evelyn,Evelyn,,,536650,178450,London,Deptford,,,,,1.0,1.0
89091,1-Jan-09,2009,1:21:20,1,Special Service,Special Service,Effecting entry/exit,Outdoor Structure,Kiosk ,Open land/water - nearest gazetteer location,SE1 8YP,SE1,E09000022,LAMBETH,Lambeth,E05000416,Bishop's,Bishop's,530632.0,179965.0,530650,179950,London,Lambeth,,,,,1.0,1.0
93091,1-Jan-09,2009,1:22:16,1,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,N6,E09000014,HARINGEY,Haringey,E05000272,Highgate,Highgate,,,528850,187850,London,Hornsey,,,,,1.0,1.0
96091,1-Jan-09,2009,1:26:10,1,False Alarm,False alarm - Good intent,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,DA5 3JD,DA5,E09000004,BEXLEY,Bexley,E05000081,St. Mary's,St. Mary's,547586.0,173254.0,547550,173250,London,Bexley,,,,,1.0,1.0
99091,1-Jan-09,2009,1:36:36,1,False Alarm,AFA,,Non Residential,Club/night club ,Correct incident location,EC1M 5PT,EC1M,E09000019,ISLINGTON,Islington,E05000370,Clerkenwell,Clerkenwell,531625.0,181875.0,531650,181850,London,Shoreditch,,,,,1.0,1.0
101091,1-Jan-09,2009,1:38:54,1,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,WC1H,E09000007,CAMDEN,Camden,E05000141,King's Cross,King's Cross,,,530350,182550,London,Euston,,,,,1.0,1.0
103091,1-Jan-09,2009,1:40:28,1,Special Service,Special Service,RTC,Outdoor,Road surface/pavement ,In street close to gazetteer location,SW20 9LY,SW20,E09000024,MERTON,Merton,E05000473,West Barnes,West Barnes,523293.0,168193.0,523250,168150,London,New Malden,,,,,2.0,2.0
105091,1-Jan-09,2009,1:41:38,1,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,N7,E09000019,ISLINGTON,Islington,E05000378,St. George's,St. George's,,,529950,185450,London,Holloway,,,,,1.0,1.0
106091,1-Jan-09,2009,1:41:57,1,Special Service,Special Service,Lift Release,Dwelling,Self contained Sheltered Housing ,Within same building,,SE5,E09000028,SOUTHWARK,Southwark,E05000535,Camberwell Green,Camberwell Green,,,532350,176650,London,Peckham,,,,,1.0,1.0
107091,1-Jan-09,2009,1:43:01,1,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,NW2,E09000005,BRENT,Brent,E05000088,Dollis Hill,Dollis Hill,,,522650,186050,London,Willesden,,,,,1.0,1.0
